anio,entidad,edad_quinquenal,sexo,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,fecha
2011,AGUASCALIENTES,70 a 74 años,Femenino,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,70 a 74 años,Masculino,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,70 a 74 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,75 a 79 años,Femenino,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,75 a 79 años,Masculino,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,75 a 79 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,80 a 84 años,Femenino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,80 a 84 años,Masculino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,80 a 84 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,85 a 89 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,85 a 89 años,Masculino,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,85 a 89 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,95 a 99 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,95 a 99 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,95 a 99 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,AGUASCALIENTES,Menores de 1 año,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,Menores de 1 año,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,AGUASCALIENTES,Menores de 1 año,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,1 a 4 años,Femenino,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,1 a 4 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,1 a 4 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,10 a 14 años,Femenino,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,10 a 14 años,Masculino,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,10 a 14 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,15 a 19 años,Femenino,13.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2011-12-31
2011,BAJA CALIFORNIA,15 a 19 años,Masculino,12.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,2011-12-31
